Image,Title,Body Copy,TBL Studio Link,Editorial Feedback,Published tags,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Other related tags,Other Notes,url_slug,Image Location,TBL Image S3 Location
,Four-Tier Fondant Snowflake Wedding Cake,"Erica and Janson left no detail unnoticed, including their four-tier confection after dinner. Decorated with expertly executed fondant snowflakes, the cake fell right in line with the couple’s whimsical winter theme. And beneath the layers of snowy white fondant lay an unexpected twist. “Our cake was a special request of Janson’s and was made from doughnuts, which are his favorite,” Erica says.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDg0MTE2,"The backdrop makes this cake rustic, but ultimately it's a winter wedding cake that could be in a glam, romantic, classic, or eclectic setting too","2: snow, wedding cakes",Libby MacCarthy,"""additional_terms"" : [
		""bride"",
		""ivory"",
		""brown"",
		""buttercream"",
		""desserts"",
		""guests"",
		""reception"",
		""romantic"",
		""tables"",
		""winter"",
		""wedding""
	],
	""concepts"" : [
		""fondant"",
		""donuts"",
		""whimsical"",
		""white"",
		""wedding cakes"",
	]","wedding cakes, round cakes, white, whimsical, snow, fondant, tiered cakes, winter","rustic, wood, candles, roses, ",,,https://www.theknot.com/real-weddings/four-tier-fondant-snowflake-wedding-cake-photo,https://apis.xogrp.com/media-api/images/0b840d3e-af25-11e5-be52-22000aa61a3e~rs_729.h,
,Custom-Made Flower Topper,"A white fondant four-tier cake made by Ambrosia Cake Creations was decorated with a custom-made flower, with each petal’s edges painted black and gold.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NTA0ODA0,"I wouldn't state this belongs primarily to one of our 7 styles, but would say eclectic if it had to belong to one of the 7. It's also parts eco, boho, modern, rustic, greenery",2:  Wedding Cakes   Cake Flowers,Marissa Hermanson,"""additional_terms"" : [
		""flower"",
		""decorated"",
		""painted"",
		""topper""
	],
	""concepts"" : [
		""fondant"",
		""black"",
		""gold"",
		""white""
	]
","wedding cakes, round cakes, white, green,  garland, eclectic, tiered cakes, cake display","cake applique, emerald green, greenery, wood, modern, glamorous, black, gold, alternative, bohemian, whimsical, farm + ranch, trees ",,,https://www.theknot.com/real-weddings/custom-made-flower-topper-photo,https://apis.xogrp.com/media-api/images/a658c7a8-9e02-11e4-843f-22000aa61a3e~rs_729.h,
,Whimsical Naked Cake,"In honor of their shared love of the TV show “Parks & Recreation,” the couple chose a ""Treat Yo’self"" cake topper from Letters to You. “I knew I wanted a seminaked cake as soon as I heard about them, and it looked stunning adorned with the rich, big blooms,” Lindsay says. “We didn’t even have extra to save for our anniversary, so I’ll definitely be ordering a duplicate of our almond cake from Frost It Cakery.”",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NTAzNzkw,"Eclectic + Rustic + Romantic: the cake topper gives a personalized sense of humor, and the flowers add extra preppy touches. This could easily be from a garden, estate, backyard, vineyard, ranch  (etc) wedding. Possibly one to categorize as semi-formal or casual. Naked cakes are inheritenly rustic as well.",5: Fuchsia   Wedding Cakes   Bohemian   Rustic  Cake Flowers,Libby MacCarthy,"	""additional_terms"" : [
		""anniversary"",
		""cake topper"",
		""honor"",
		""shared""
	],
	""concepts"" : [
		""cake toppers"",
		""naked cakes"",
		""whimsical"",
		""park""
	]
","wedding cakes, round cakes, naked + transulcent cakes, cake flowers, cake toppers, whimsical, tiered cakes","casual, dahlias, ranunculus, greenery, romantic, eclectic, bohemian, garden, fern, fucshia, jewel tones, candles, cake stand, white, rustic, humorous, personalized, cake topper",,,https://www.theknot.com/real-weddings/whimsical-naked-cake-photo,https://apis.xogrp.com/media-api/images/c9e15cef-ed81-11e6-b589-12072ec58d1a~rs_729.h,
,Simple White Wedding Cake With Orange and Red Flowers,"Karin and Ben's wedding cake from Crisp Bake Shop in Sonoma, California, was adorned with orange and red rose blossoms, echoing the day's vivid palette. ""Practice cutting cakes together,"" Karin says. ""Nobody tells you that cutting a cake, two people as one, is actually quite challenging. Seriously, practice.""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDg4MzIx,"missing rustic, simple",4:  Orange   Red   Wedding Cakes   Cake Flowers,Carolyn Meers,"	""additional_terms"" : [
		""day's"",
		""palette"",
		""cake"",
		""people"",
		""blossoms"",
		""california"",
		""adorned""
	],
	""concepts"" : [
		""orange"",
		""wedding cakes"",
		""simple"",
		""red"",
		""wedding"",
		""white"",
		""roses""
	]
","simple, wedding cakes, round cakes, white, earth tones, rustic, cake stand ","affordable, casual, fruit, wood, ferns, brights, orange, red, green, eucalyptus, tiered cakes, fondant",,,https://www.theknot.com/real-weddings/simple-white-wedding-cake-with-orange-and-red-flowers-photo?page=1,https://apis.xogrp.com/media-api/images/fd1346bc-b511-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Simple Wedding Cake and Dessert Table,Paso Robles' Paper Cake Events created the couple's simple two-tier rough-frosted wedding cake and topped it with crimson blossoms. The cake was accompanied by a tableful of other desserts.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDc5NDE3,"Cake is very boho, especially with the cake stand, set up of other flowers around it",5:  Burgundy   Desserts   Wedding Cakes   Bohemian  Cake Flowers,Carolyn Meers," 
	""additional_terms"" : [
		""events"",
		""created"",
		""couple's"",
		""cake"",
		""topped"",
		""paper""
	],
	""concepts"" : [
		""desserts"",
		""wedding cakes"",
		""simple"",
		""wedding"",
		""tables""
	]
","bohemian, wedding cakes, cakes + desserts, cake stand, jewel tones, cake flowers, cake stand, geometric","naked + translucent cakes, dahlia, garden rose, roses, Love-Lies-Bleeding, cookies, cupcakes, macaroons, burgandy, red, plum, gold,  round cakes, tiered cakes, ranauculous, vases, wood, rustic",,,https://www.theknot.com/real-weddings/simple-wedding-cake-and-dessert-table-photo,https://apis.xogrp.com/media-api/images/65a277f8-8943-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,Five-Tier White Wedding Cake,The five-tier wedding cake tied in the white and green colors with a modern design.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU5NzI2,style is definitely modern; secondary could be boho or glam, 5: Green   White   Cakes + Desserts   Wedding Cakes  Modern,Samantha Meux,"""additional_terms"" : [
		""wedding cake"",
		""tied"",
		""colors""
	],
	""concepts"" : [
		""wedding cakes"",
		""white"",
		""green"",
		""greens"",
		""color"",
		""wedding"",
		""modern""
	]
","modern, wedding cake, geometric, sage, tiered cake","formal, wood, greens, round cakes, fondant, applique, bohemian, ",,,https://www.theknot.com/real-weddings/five-tier-white-wedding-cake-photo-4,https://apis.xogrp.com/media-api/images/5bd17029-3956-11e6-af22-0e6345a2d5d3~rs_729.h,
,Untraditional Wedding Cake,"Nicole designs cakes for friends and family as a hobby, so she designed the wedding cake of the couple's dreams. ""I wanted to have a 'piece' of our life from every chapter—where we met, the vacations we took, our weekly trivia night and what I envision the future to look like,"" Nicole says. ""Each tier of the cake represents a time period: past [bottom tier], present [middle] and future [top].""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDUyODk4,This is as whismical as it gets and should be tagged primarily to that. ,1:  Cakes + Desserts,Ginger Harris,"""additional_terms"" : [
		""wedding cake"",
		""cake"",
		""tier"",
		""nicole"",
		""future"",
		""designs"",
		""represents"",
		""top"",
		""couple's"",
		""piece""
	],
	""concepts"" : [
		""wedding cakes"",
		""wedding"",
		""friends + family""
	]
","whimsical, wedding cake, monogram, bicycles, colorful","casual, purple, hydrangea, bohemian, eclectic, fondant, personalized, round cakes, tiered, purple, chandelier, eclectic, cake topper",,,https://www.theknot.com/real-weddings/untraditional-wedding-cake-photo,https://apis.xogrp.com/media-api/images/6deb65ce-1d2f-11e6-af22-0e6345a2d5d3~rs_729.h,
,"Rustic, Elegant Wedding Cake With Greenery","Local baker Edith Meyer crafted a three-tier, horizontally rough-frosted cake with layers of bittersweet chocolate with strawberry buttercream. The base of each tier was encircled with fresh olive branches, with a large gold marzipan succulent offset on the center tier.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU3NTMx,tagged very well,9:  Elegant   Wedding Cakes   Rustic   Mountain   Greens  Succulents   Buttercream   Cake Flowers   Tiered Cakes,," all-white (27)   arrangement (6)   arrangements of hydrangea (17)   bloom (16) Bouquets,   cake (4) Candles Centerpieces   cover (21) Decorations + Accents Glassware   hydrangea (1) Ivory Linens   matt's (31)   orchid (100)   orchids serve (21) Pedestals Pink Purple   serve (1) Tables Vases White   white hydrangea (24)   whitney (32)                 	""additional_terms"" : [
		""succulent"",
		""fresh"",
		""tier"",
		""base"",
		""cake"",
		""large"",
		""center"",
		""strawberry""
	],
	""concepts"" : [
		""succulents"",
		""brown"",
		""leaves"",
		""buttercream"",
		""local"",
		""wedding cakes"",
		""gold"",
		""elegant"",
		""rustic"",
		""wedding"",
		""branches""
	]
","wedding cake, round, garland, succulent, rustic, cake flowers, buttercream","tiered cakes, wood, bohemian, greens, white",,,https://www.theknot.com/real-weddings/rustic-elegant-wedding-cake-with-greenery-photo,https://apis.xogrp.com/media-api/images/b3cb670c-2eb2-11e6-af22-0e6345a2d5d3~rs_729.h,
,Six-Tier Custom Black-and-White Wedding Cake,Shane kept his secret cake creation a surprise until the wedding. He let Michael pick the flavors: black velvet cake and yellow butter cake filled with cream cheese frosting. Each tier featured a different design like pinstripes and silver piping.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDIyOTc1,Missing glam as the main style to this cake style,7: Black and White   Stripes   Black   Wedding Cakes  Fondant   Round Cakes   Tiered Cakes,,"""additional_terms"" : [
		""custom"",
		""pick"",
		""surprise"",
		""design"",
		""michael"",
		""shane""
	],
	""concepts"" : [
		""piping"",
		""wedding"",
		""silver"",
		""yellow"",
		""wedding cakes"",
		""black""
	]
","glamorous, wedding cake, black and white, tiered cake","round cakes, luxury, metallics, black, filigree, silver, stripes,  fondant, cake stand, geometric, mirrored",,,https://www.theknot.com/real-weddings/six-tier-custom-black-and-white-wedding-cake-photo,https://apis.xogrp.com/media-api/images/fed19fd0-b3fb-11e5-be52-22000aa61a3e~rs_729.h,
,Elegant White Tiered Cake,"The couple’s four-tier white cake, embellished with delicate white blooms, was filled with white chocolate cake and hazelnut mousse.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDQwMjI3,"style veers in a few directions: modern, romantic; secondary: whimsical and eclectic",1:  Wedding Cakes,Marissa Hermanson,"""additional_terms"" : [
		""filled""
	],
	""concepts"" : [
		""tiered cakes"",
		""delicate"",
		""elegant"",
		""white"",
		""brown""
	]
","white, tiered cakes, cake flowers, cake applique, modern ","fondant, round cakes, romantic, whimsical, cake stand",,,https://www.theknot.com/real-weddings/elegant-white-tiered-cake-photo,https://apis.xogrp.com/media-api/images/16833806-ead8-11e5-af58-22000aa61a3e~rs_729.h,
,Classic White Wedding Cake,"It took the catering company two tries to nail Caroline's aunt's wedding cake recipe. But in the end, the five-tier all-white confection tasted just like home. Delicate sugar flowers and fondant beading finished the look.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzUwNTcx,Missing classic as main style category,7: Elegant   Formal   White   Wedding Cakes   Fondant  Round Cakes   Tiered Cakes,Meghan Overdeep,"""additional_terms"" : [
		""wedding cake"",
		""beading"",
		""finished"",
		""end""
	],
	""concepts"" : [
		""wedding cakes"",
		""delicate"",
		""fondant"",
		""food + catering"",
		""nails"",
		""wedding"",
		""classic"",
		""white""
	]
","wedding cakes, elegant, classic, white, glamorous, cake flowers, piping, greens","tiered cakes, round cakes, cake applique, modern, eucatalyptus, fondant",,,https://www.theknot.com/real-weddings/classic-white-wedding-cake-photo-11,https://apis.xogrp.com/media-api/images/26118c2a-dd3a-11e4-be0a-22000aa61a3e~rs_729.h,
,Gold and Blush Tiered Fondant Wedding Cake,Even the cake shimmered! A single gilded layer gave the three-tier confection just the right amount of panache.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDEyMjg5,Glam + Romantic would be top style tags for this cake,11: Elegant   Gold   Pink   Blush   Wedding Cakes  Glamorous   Romantic   Cake Flowers   Fondant  Round Cakes   Tiered Cakes,Rachel Sylvester,"	""additional_terms"" : [
		""cake"",
		""wedding cake"",
		""tiered"",
		""gave"",
		""single""
	],
	""concepts"" : [
		""fondant"",
		""blush"",
		""wedding cakes"",
		""gold"",
		""wedding""
	]
","romantic, glamorous, blush, gold, cake stand, cake flowers, wedding cake","pink, metallics, tiered cakes, round cakes, peonies, rananuclous, sweetpeas, preppy, modern, fontant",,,https://www.theknot.com/real-weddings/gold-and-blush-tiered-fondant-wedding-cake-photo,https://apis.xogrp.com/media-api/images/770cc17e-8980-11e5-9816-22000aa61a3e~rs_729.h,
,Cherry-Blossom-Topped Fondant Wedding Cake,Dessert included a towering five-tier cake covered in sugar cherry blossoms—a nod to Taryn's favorite flower.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU5NTQz,,8:  Elegant   White   Wedding Cakes   Cake Flowers  Fondant   Round Cakes   Tiered Cakes   Cherry Blossoms,Rachel Sylvester,"""additional_terms"" : [
		""wedding cake"",
		""dessert"",
		""included""
	],
	""concepts"" : [
		""cherry blossoms"",
		""fondant"",
		""desserts"",
		""wedding cakes"",
		""wedding""
	]
","wedding cakes, elegant, white, cherry blossoms, tiered wedding cakes, luxury","wedding flowers, round cakes, fondant, candles, candles, glamorous",,,https://www.theknot.com/real-weddings/cherry-blossom-topped-fondant-wedding-cake-photo,https://apis.xogrp.com/media-api/images/b470a8e3-38b3-11e6-af22-0e6345a2d5d3~rs_729.h,
,Gold-Accented Wedding Cake,"The wedding cake was iced in white and featured lemon cake with vanilla bean and raspberry buttercream frosting. One layer of the cake was iced in gold, while the other tiers had gold accents. Fresh, organic florals highlighted the dessert.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDM4MTM3,,3: Gold   Wedding Cakes   Cake Flowers,Allie Volpe,"""additional_terms"" : [
		""iced"",
		""wedding cake"",
		""dessert"",
		""tiers"",
		""cake"",
		""fresh"",
		""highlighted"",
		""featured""
	],
	""concepts"" : [
		""wedding cakes"",
		""desserts"",
		""wedding"",
		""gold"",
		""white"",
		""decorations + accents"",
		""organic"",
		""buttercream""
	]
","wedding cakes, wedding flowers, traditional, gold, white, peonies, hydrangea, roses, romantic","fruit, buttercream, simple, round cakes, cake stand, craspedia, classic",,,https://www.theknot.com/real-weddings/gold-accented-wedding-cake-photo-2,https://apis.xogrp.com/media-api/images/26c711d0-dfeb-11e5-af58-22000aa61a3e~rs_729.h,
,Classic Five-Tier Floral Wedding Cake,"In addition to New York cheesecake with strawberry sauce, Noel and Tim treated their friends and family members to a slice of traditional wedding cake after dinner. Under layers of lace-embellished buttercream frosting and colorful flowers was lemon cake with raspberry meringue. “We chose these flavors to complement the season and our garden theme,” Noel says. “The lemon cake was light and refreshing, a wonderful choice for a late-spring wedding.”",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDAxOTAz,,2:  Classic   Wedding Cakes,Libby MacCarthy,"	""additional_terms"" : [
		""light"",
		""wedding cake"",
		""floral"",
		""addition"",
		""complement"",
		""cake"",
		""season"",
		""strawberry"",
		""chose"",
		""treated"",
		""choice"",
		""flavors""
	],
	""concepts"" : [
		""wedding cakes"",
		""cheesecakes"",
		""friends + family"",
		""wedding"",
		""lighting"",
		""classic"",
		""traditional"",
		""news"",
		""colorful"",
		""buttercream"",
		""garden""
	]
","wedding cakes, classic, round cakes, piping, ivory, fondant, cake flowers, tiered cakes","orange, blush, pink, hydrangea, greens, roses, lace, traditional, romantic ",,,https://www.theknot.com/real-weddings/classic-five-tiered-floral-wedding-cake-photo,https://apis.xogrp.com/media-api/images/c7c84e84-65e6-11e5-9816-22000aa61a3e~rs_729.h,
,A Mini Confetti Wedding Cake,"""I chose to make my cake four mini cakes and place them as centerpieces on each cocktail table,"" Pamela says. ""A Momofuku Milk Bar confetti cake was a must, because what little girl didn't have a confetti cake?"" Pamela says.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:Mzg5MjAz,,2:  Cakes + Desserts   Wedding Cakes,Ginger Harris,"	""additional_terms"" : [
		""cake"",
		""wedding cake"",
		""place"",
		""mini"",
		""chose"",
		""girl""
	],
	""concepts"" : [
		""cocktail tables"",
		""centerpieces"",
		""wedding cakes"",
		""wedding"",
		""tables""
	]
","wedding cakes, simple, naked cake, affordable, cake flowers, cake stand, eclectic, whimsical, pastels, colorful","color, preppy, mint, peonies, rananculous, ecuctalyptus",,,https://www.theknot.com/real-weddings/a-mini-confetti-wedding-cake-photo,https://apis.xogrp.com/media-api/images/a30b0fec-3d36-11e5-9816-22000aa61a3e~rs_729.h,
,Tiered Cheese Wedding Cake,"A big foodie, Lauren is usually disappointed by traditional wedding cake. As an alternative, the couple opted for stacked cheese wheels, homemade candy bars and doughnuts.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzgwNTEw,,5:  Cheesecakes   Wedding Cakes   Fall   Round Cakes  Tiered Cakes,Lauren Levy,"	""additional_terms"" : [
		""wedding cake"",
		""cheese"",
		""homemade"",
		""tiered"",
		""lauren"",
		""big""
	],
	""concepts"" : [
		""wedding cakes"",
		""candy bars"",
		""alternative"",
		""donuts"",
		""wedding"",
		""traditional"",
		""classic""
	]
","cakes + desserts, earth tones, cake stand, fruit, cheese,rustic, vintage, bohemian, greens","burnt orange, green, gold, round cakes, ",,"This isn't a cheesecake, but stacked wheels of cheese. Should NOT be tagged to cheesecake, but cheese",https://www.theknot.com/real-weddings/tiered-cheese-wedding-cake-photo,https://apis.xogrp.com/media-api/images/dfe5feac-2708-11e5-9816-22000aa61a3e~rs_729.h,
,Ombre Blue and Purple Wedding Cake,"""Renowned cake baker Ana Parzych worked with us to design the most magnificent—and best tasting—cake our guests had ever seen, featuring handmade sugar flowers cascading down four tiers in an ombre theme of blues and purples,"" Lisa says. ""Each tier had a different flavor combination, and each guest had the chance to taste all three.""",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzcyODQ1,,4:  Ombre   Blue   Purple   Cake Flowers,Linley Sanders,"""additional_terms"" : [
		""tiers"",
		""cascading"",
		""wedding cake"",
		""design"",
		""featuring"",
		""handmade"",
		""theme""
	],
	""concepts"" : [
		""ombre"",
		""purple"",
		""blue"",
		""guests"",
		""wedding cakes"",
		""wedding""
	]
","wedding cakes, round, eclectic, whimsical, ombre, cake flowers, blue, purple, sugar flowers","roses, hydrangea, delphiniums, sweetpeas, round cakes, tiered cakes, piping, romantic, peonies, anemones",,,https://www.theknot.com/real-weddings/ombre-blue-and-purple-wedding-cake-photo,https://apis.xogrp.com/media-api/images/4b0b1ef0-1053-11e5-be0a-22000aa61a3e~rs_729.h,
,Doughnut Dessert Bar,"In a refreshing departure from traditional wedding cake, Alexandra and Walter offered guests a variety of fresh doughnuts for dessert.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDMyODc1,,1:  Desserts,Carolyn Meers,"""additional_terms"" : [
		""doughnut"",
		""offered""
	],
	""concepts"" : [
		""donuts"",
		""desserts"",
		""wedding cakes"",
		""traditional"",
		""classic"",
		""guests"",
		""wedding""
	]
","affordable, rustic, cakes + desserts, donuts, brown","eucatlyptus, cake stands, candles, wood, bohemian, simple",,,https://www.theknot.com/real-weddings/doughnut-dessert-bar-photo-4,https://apis.xogrp.com/media-api/images/63e6ffda-fb48-11e5-b8ed-22000aa61a3e~rs_729.h,
,Blue Agate-Inspired Wedding Cake,"Raspberry-colored flowers added color to a striking blue wedding cake designed with a subtle agate motif, served on a gold platter.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDg2Nzky,,4:  Blue   Pink   Wedding Cakes   Cake Flowers,Chrissy Sorenson,"""additional_terms"" : [
		""flowers"",
		""striking"",
		""cake"",
		""motif"",
		""served"",
		""subtle""
	],
	""concepts"" : [
		""blue"",
		""wedding cakes"",
		""wedding"",
		""color"",
		""gold""
	]
","bohemain, wedding cakes, tiered, blue, metallic, fondant, wedding flowers, peonies, fuschia, eclectic,","gold, marbled, candles, cake stand, modern, whimsical, royal blue, peonies, cake topper",,,https://www.theknot.com/real-weddings/blue-agate-inspired-wedding-cake-photo,https://apis.xogrp.com/media-api/images/aef2d683-ac31-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,"White, Blush and Gold Dessert Table With Seven Cakes","""We wanted the cakes to be a focal point. Each cake had its own style, but they all tied together,"" Kate says of their eye-catching dessert table, which featured seven different cakes.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDM4MDA5,,8:  Gold   Cakes + Desserts   Cake Accessories   Cake Stands  Cake Toppers   Desserts   Wedding Cakes   Cake Flowers,Samantha Meux,"	""additional_terms"" : [
		""table"",
		""featured"",
		""dessert"",
		""cakes"",
		""kate"",
		""tied"",
		""style""
	],
	""concepts"" : [
		""desserts"",
		""tables"",
		""blush"",
		""gold"",
		""white""
	]
","glamorous, wedding cakes, metallic, blush, gold, fondant, cake stands","vintage, blush, cake flowers, pink, cake topper, personalized, pastels, eclectic",,,https://www.theknot.com/real-weddings/white-blush-and-gold-dessert-table-with-seven-cakes-photo,https://apis.xogrp.com/media-api/images/0cc61294-e032-11e5-af58-22000aa61a3e~rs_729.h,
,Rustic Buttercream Cake With Fall Flowers,"Each layer of the four-tier buttercream cake was different, including a fall-flavored portion of caramel apple cake with fresh apple compote.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDEyMjA2,,7: Cake Stands   Wedding Cakes   Rustic   Buttercream  Cake Flowers   Round Cakes   Tiered Cakes,Samantha Meux,"         ""additional_terms"" : [
		""including"",
		""flowers"",
		""cake""
	],
	""concepts"" : [
		""fall"",
		""rustic"",
		""buttercream""
	]
","wedding cakes, fall, rustic, cake flowers,  buttercream, yellow, red, fondant","earth tones, gold, hypericum, leaves, fruit, fern, orchids, cala lilies, proteas, round cakes, tiered cakes",,Cake is made of fondant + buttercream - helpful to tag both? The writer orignially only identified the buttercream,https://www.theknot.com/real-weddings/rustic-buttercream-cake-with-fall-flowers-photo,https://apis.xogrp.com/media-api/images/23d7d2e2-8894-11e5-9816-22000aa61a3e~rs_729.h,
,Cut the Cookie,"“Jay and I don’t eat cake,” Kelsey says. “We like cookies and doughnuts, so that’s exactly what we had. We enjoyed our nontraditional desserts and danced the night away.”",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDI2NDg2,,2:  Cakes + Desserts   Cookies,,"""additional_terms"" : [
		""doughnuts"",
		""cookie"",
		""cake"",
		""enjoyed"",
		""eat"",
		""danced""
	],
	""concepts"" : [
		""cookies"",
		""donuts"",
		""desserts""
	]
","rustic, vintage, cookies, antiques, cake stands, bohemian, retro","burnt orange, turquoise, yellow, wood, burlap, simple, affordable, earthtones, ",,,https://www.theknot.com/real-weddings/cut-the-cookie-photo,https://apis.xogrp.com/media-api/images/bd75062c-bd41-11e5-af58-22000aa61a3e~rs_729.h,
,Lace Applique Wedding Cake,"“I have a major sweet tooth, so the cake-tasting day was one of my favorites,” Kendall says. “We wanted a lot of flavors and something that wasn’t too standard. We also wanted some side desserts.” A four-tier cake was decorated with ivory, champagne and gold lace applique and pearl accents. The couple also served two other cakes, mini key lime pies and dessert shooters.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:Mzc4OTIw,,3:  Lace   Gold   Wedding Cakes,Marissa Hermanson,"""additional_terms"" : [
		""flavors"",
		""favorites""
	],
	""concepts"" : [
		""lace"",
		""desserts"",
		""pies"",
		""champagne"",
		""decorations + accents"",
		""ivory"",
		""wedding cakes"",
		""gold"",
		""wedding"",
		""sweet""
	]
","wedding cakes, romantic, vintage, applique, lace, gold, neutrals","cake flowers, peonies, pink, ivory, blush, roses, piping, elegant, formal, cake stand, peach",,,https://www.theknot.com/real-weddings/lace-applique-wedding-cake-photo,https://apis.xogrp.com/media-api/images/7881c164-2042-11e5-9816-22000aa61a3e~rs_729.h,
,Thank-You Gift Cakes to Newlyweds' Parents,"Although the couple opted for cookies from their favorite cafe, Reno, they did present three floral-topped cakes to their parents as a wedding day thank-you. One was even hand-painted with the floral design from the couple's invitation suite.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDM3MTI4#,,7: Colorful   Watercolor   Cakes + Desserts   Wedding Cakes  Peonies   Cake Flowers   Round Cakes,Stephanie Cain,"	""additional_terms"" : [
		""present"",
		""cakes"",
		""floral design"",
		""favorite"",
		""couple's""
	],
	""concepts"" : [
		""parents"",
		""cookies"",
		""wedding"",
		""invitations + paper goods""
	]
","wedding cakes, eclectic, whimsical, colorful, cake stands, cake flowers, casual, brights","single-tier cake, gold, brown, red, yellow, peonies, roses, anenome, round cakes, cake stands, hand-painted",,,https://www.theknot.com/real-weddings/thank-you-gift-cakes-to-newlyweds-parents-photo,https://apis.xogrp.com/media-api/images/c5180ede-dd7a-11e5-8d16-12313d2529c5~rs_729.h,
,Pastel Flower-Topped White Wedding Cake,The couple's classic wedding cake was accented with sugar flowers that mirrored the blooms used in Alex's bouquet.,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDE5MzQ0,, 3: Classic   Pink   Wedding Cakes,Meghan Overdeep,"	""additional_terms"" : [
		""pastel"",
		""accented"",
		""couple's"",
		""blooms""
	],
	""concepts"" : [
		""wedding cakes"",
		""pastels"",
		""bouquets"",
		""wedding"",
		""classic"",
		""white""
	]
","wedding cakes, luxury, elegant, classic, white, blush, pastel, cake flowers, proteas,","tiered cakes, round cakes, fondant,  roses, freesia ",,,https://www.theknot.com/real-weddings/thank-you-gift-cakes-to-newlyweds-parents-photo,https://apis.xogrp.com/media-api/images/90505bc6-a37c-11e5-be52-22000aa61a3e~rs_729.h,
,Gold and Blue Fondant Wedding Cake,"In a nod to the couple's theme, a gold ""live, love, laugh"" topper and gilded brush strokes adorned the navy wedding cake.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDEyMjg0,,7: Royal Blue   Gold   Cake Toppers   Wedding Cakes  Glamorous   Fondant   Tiered Cakes,Rachel Sylvester,"	""additional_terms"" : [
		""wedding cake"",
		""couple's"",
		""topper"",
		""live"",
		""adorned""
	],
	""concepts"" : [
		""wedding cakes"",
		""gold"",
		""fondant"",
		""navy"",
		""blue"",
		""wedding""
	]
","modern, wedding cakes, royal blue, gold, cake topper, tiered cakes, whimsical,","fondant, rustic, round cakes, candles, bohemian, wood, blue",,,https://www.theknot.com/real-weddings/gold-and-blue-fondant-wedding-cake-photo,https://apis.xogrp.com/media-api/images/52e52a90-8979-11e5-9816-22000aa61a3e~rs_729.h,